"mined","cover","DOP","Wtemp","DOY","spp","count"
"yes",0.397880601,-0.301823307,0.294055395,-0.484324348,"EC-L",7
"no",-0.447615676,-0.301823307,-1.364687976,-0.524831475,"EC-L",6
"no",0.596820901,3.169144721,1.412103412,-0.200774457,"EC-L",2
"no",1.342847027,3.169144721,-0.402433535,-0.200774457,"EC-L",5
"no",-0.944966426,-0.301823307,-1.11725112,-0.524831475,"EC-L",7
"no",0.497350751,-0.301823307,-0.860649935,-0.524831475,"EC-L",1
"no",0.149205225,-0.301823307,0.101604506,-0.443817221,"EC-L",4
"no",1.889932853,-0.301823307,-1.108086792,-0.524831475,"EC-L",1
"yes",-1.591522402,-0.301823307,2.209399949,-0.484324348,"EC-L",1
"no",-0.149205225,-0.301823307,0.394863003,-0.443817221,"EC-L",5
"no",-0.049735075,-0.301823307,-0.429926519,-0.443817221,"EC-L",2
"no",1.193641802,-0.301823307,-1.465495584,-0.524831475,"EC-L",2
"no",1.790462703,-0.301823307,-0.23747563,-0.524831475,"EC-L",1
"yes",-1.541787327,-0.301823307,0.147426146,-0.443817221,"EC-L",1
"yes",-0.397880601,-0.301823307,-0.05418907,-0.484324348,"EC-L",2
"no",0.795761201,-0.301823307,0.074111522,-0.443817221,"EC-L",4
"yes",-0.696291051,-0.301823307,-1.016443511,-0.443817221,"EC-L",4
"yes",0.447615676,-0.301823307,-0.439090847,-0.484324348,"EC-L",5
"yes",-0.696291051,-0.301823307,-0.081682054,-0.484324348,"EC-L",5
"yes",-0.795761201,-0.301823307,1.998620405,-0.484324348,"EC-L",5
"yes",-0.646555976,-0.301823307,0.367370019,-0.484324348,"EC-L",1
"yes",-1.442317177,1.658312395,-0.826482546,0.649875216,"EC-L",3
"yes",0.29841045,1.658312395,0.195819483,0.649875216,"EC-L",2
"yes",0.397880601,-1.658312395,-0.161628779,0.649875216,"EC-L",2
"no",-0.447615676,0,-0.583417728,0.163789689,"EC-L",4
"no",0.596820901,0,0.946460832,0.609368088,"EC-L",3
"no",1.342847027,1.658312395,0.56041671,1.297989252,"EC-L",1
"no",-0.944966426,0,0.782034632,0.609368088,"EC-L",7
"no",0.497350751,0,0.102882934,0.609368088,"EC-L",2
"no",0.149205225,0,0.453182231,0.123282561,"EC-L",2
"no",1.889932853,0,0.052840178,0.082775434,"EC-L",3
"yes",-1.591522402,-1.658312395,0.639055327,0.649875216,"EC-L",2
"no",-0.149205225,0,0.631906362,0.123282561,"EC-L",2
"no",-0.049735075,0,-0.354650841,0.123282561,"EC-L",6
"no",1.193641802,0,-0.647758415,0.082775434,"EC-L",2
"no",1.790462703,0,1.396845642,0.082775434,"EC-L",1
"yes",-1.541787327,1.658312395,1.511229086,0.649875216,"EC-L",1
"yes",-0.397880601,0,-1.905976297,0.163789689,"EC-L",3
"no",0.795761201,0,0.174372587,0.082775434,"EC-L",3
"yes",-0.696291051,-1.658312395,1.368249781,0.649875216,"EC-L",4
"yes",0.447615676,0,-1.755848027,0.163789689,"EC-L",5
"yes",-0.696291051,0,-1.484187348,0.163789689,"EC-L",3
"yes",-0.795761201,-1.658312395,0.417437405,0.649875216,"EC-L",3
"yes",-0.646555976,0,-1.512783209,0.163789689,"EC-L",0
"yes",-1.442317177,-0.091599899,-1.034892866,1.379003507,"EC-L",6
"yes",0.29841045,-0.091599899,-0.022802046,1.379003507,"EC-L",2
"yes",0.397880601,-0.091599899,-1.669749835,1.419510634,"EC-L",2
"no",-0.447615676,-0.091599899,0.179616118,1.257482125,"EC-L",13
"no",0.596820901,2.015197787,0.041603733,1.297989252,"EC-L",11
"no",1.342847027,2.015197787,-0.427638374,1.297989252,"EC-L",2
"no",-0.944966426,-0.091599899,-0.096408651,1.257482125,"EC-L",36
"no",0.497350751,-0.091599899,-0.850876353,1.257482125,"EC-L",9
"no",0.149205225,-2.198397586,0.915682169,0.973932234,"EC-L",6
"no",1.889932853,-0.091599899,-0.924482958,1.257482125,"EC-L",11
"yes",-1.591522402,-0.091599899,0.924882994,1.419510634,"EC-L",2
"no",-0.149205225,-2.198397586,1.863367209,0.973932234,"EC-L",6
"no",-0.049735075,2.015197787,0.593653271,0.973932234,"EC-L",2
"no",1.193641802,-0.091599899,-1.246511856,1.257482125,"EC-L",5
"no",1.790462703,-0.091599899,0.72246483,1.257482125,"EC-L",4
"yes",-1.541787327,-0.091599899,0.032402908,1.419510634,"EC-L",1
"yes",-0.397880601,-0.091599899,0.510845841,1.460017761,"EC-L",0
"no",0.795761201,-0.091599899,-0.188416908,1.257482125,"EC-L",9
"yes",-0.696291051,-0.091599899,2.056584547,1.419510634,"EC-L",1
"yes",0.447615676,-0.091599899,0.768468959,1.460017761,"EC-L",2
"yes",-0.696291051,-0.091599899,-1.734155614,1.460017761,"EC-L",2
"yes",-0.795761201,-0.091599899,0.308427677,1.419510634,"EC-L",4
"yes",-0.646555976,-0.091599899,-0.722064794,1.460017761,"EC-L",6
"yes",-1.442317177,-0.595683397,-1.229378612,-1.497002529,"DES-L",2
"yes",0.29841045,-0.595683397,0.084765289,-1.497002529,"DES-L",3
"yes",0.397880601,-1.191366794,1.014176271,-1.294466893,"DES-L",4
"no",-0.447615676,0,-3.023357951,-2.712216348,"DES-L",1
"no",0.596820901,0.595683397,-0.144345326,-0.686859984,"DES-L",4
"no",1.342847027,0.595683397,-0.014660072,-0.686859984,"DES-L",10
"no",-0.944966426,-0.595683397,-0.44694425,-0.970409875,"DES-L",2
"no",0.497350751,-0.595683397,-0.602566554,-0.970409875,"DES-L",3
"no",0.149205225,0,-0.092471224,-0.767874239,"DES-L",7
"no",1.889932853,1.787050192,-0.248093528,-1.578016784,"DES-L",2
"yes",-1.591522402,-1.191366794,2.004107039,-1.294466893,"DES-L",4
"no",-0.149205225,1.787050192,1.169798575,-1.578016784,"DES-L",2
"no",-0.049735075,-1.191366794,-0.792771592,-1.497002529,"DES-L",8
"no",1.193641802,1.787050192,-0.658763497,-1.578016784,"DES-L",2
"no",1.790462703,-1.191366794,-0.101116908,-1.537509657,"DES-L",1
"yes",-1.541787327,0.595683397,0.88881386,-1.091931257,"DES-L",5
"yes",-0.397880601,-1.191366794,0.25767896,-1.294466893,"DES-L",1
"no",0.795761201,0,0.214450542,-0.767874239,"DES-L",4
"yes",-0.696291051,0.595683397,0.339812954,-1.091931257,"DES-L",6
"yes",0.447615676,0.595683397,-0.170282376,-1.091931257,"DES-L",1
"yes",-0.696291051,0.595683397,-0.377778782,-1.091931257,"DES-L",1
"yes",-0.795761201,-1.191366794,1.238964044,-1.294466893,"DES-L",4
"yes",-0.646555976,0.595683397,0.689963138,-1.091931257,"DES-L",4
"yes",-1.442317177,-0.301823307,0.239069426,-0.322295839,"DES-L",1
"yes",0.29841045,-0.301823307,1.338788788,-0.322295839,"DES-L",2
"yes",0.397880601,-0.301823307,0.294055395,-0.484324348,"DES-L",4
"no",-0.447615676,-0.301823307,-1.364687976,-0.524831475,"DES-L",8
"no",0.596820901,3.169144721,1.412103412,-0.200774457,"DES-L",2
"no",1.342847027,3.169144721,-0.402433535,-0.200774457,"DES-L",8
"no",-0.944966426,-0.301823307,-1.11725112,-0.524831475,"DES-L",5
"no",0.497350751,-0.301823307,-0.860649935,-0.524831475,"DES-L",11
"no",0.149205225,-0.301823307,0.101604506,-0.443817221,"DES-L",6
"no",1.889932853,-0.301823307,-1.108086792,-0.524831475,"DES-L",3
"yes",-1.591522402,-0.301823307,2.209399949,-0.484324348,"DES-L",1
"no",-0.149205225,-0.301823307,0.394863003,-0.443817221,"DES-L",3
"no",-0.049735075,-0.301823307,-0.429926519,-0.443817221,"DES-L",5
"no",1.193641802,-0.301823307,-1.465495584,-0.524831475,"DES-L",2
"no",1.790462703,-0.301823307,-0.23747563,-0.524831475,"DES-L",3
"yes",-1.541787327,-0.301823307,0.147426146,-0.443817221,"DES-L",5
"yes",-0.397880601,-0.301823307,-0.05418907,-0.484324348,"DES-L",4
"no",0.795761201,-0.301823307,0.074111522,-0.443817221,"DES-L",1
"yes",-0.696291051,-0.301823307,-1.016443511,-0.443817221,"DES-L",4
"yes",0.447615676,-0.301823307,-0.439090847,-0.484324348,"DES-L",6
"yes",-0.696291051,-0.301823307,-0.081682054,-0.484324348,"DES-L",1
"yes",-0.795761201,-0.301823307,1.998620405,-0.484324348,"DES-L",9
"yes",-0.646555976,-0.301823307,0.367370019,-0.484324348,"DES-L",4
"yes",-1.442317177,1.658312395,-0.826482546,0.649875216,"DES-L",2
"yes",0.29841045,1.658312395,0.195819483,0.649875216,"DES-L",3
"yes",0.397880601,-1.658312395,-0.161628779,0.649875216,"DES-L",4
"no",-0.447615676,0,-0.583417728,0.163789689,"DES-L",7
"no",0.596820901,0,0.946460832,0.609368088,"DES-L",14
"no",1.342847027,1.658312395,0.56041671,1.297989252,"DES-L",3
"no",-0.944966426,0,0.782034632,0.609368088,"DES-L",7
"no",0.497350751,0,0.102882934,0.609368088,"DES-L",5
"no",0.149205225,0,0.453182231,0.123282561,"DES-L",3
"no",1.889932853,0,0.052840178,0.082775434,"DES-L",6
"yes",-1.591522402,-1.658312395,0.639055327,0.649875216,"DES-L",8
"no",-0.149205225,0,0.631906362,0.123282561,"DES-L",5
"no",-0.049735075,0,-0.354650841,0.123282561,"DES-L",9
"no",1.193641802,0,-0.647758415,0.082775434,"DES-L",3
"no",1.790462703,0,1.396845642,0.082775434,"DES-L",2
"yes",-1.541787327,1.658312395,1.511229086,0.649875216,"DES-L",2
"yes",-0.397880601,0,-1.905976297,0.163789689,"DES-L",2
"no",0.795761201,0,0.174372587,0.082775434,"DES-L",3
"yes",-0.696291051,-1.658312395,1.368249781,0.649875216,"DES-L",1
"yes",0.447615676,0,-1.755848027,0.163789689,"DES-L",6
"yes",-0.696291051,0,-1.484187348,0.163789689,"DES-L",2
"yes",-0.795761201,-1.658312395,0.417437405,0.649875216,"DES-L",2
"yes",-0.646555976,0,-1.512783209,0.163789689,"DES-L",5
"yes",-1.442317177,-0.091599899,-1.034892866,1.379003507,"DES-L",5
"yes",0.29841045,-0.091599899,-0.022802046,1.379003507,"DES-L",2
"yes",0.397880601,-0.091599899,-1.669749835,1.419510634,"DES-L",4
"no",-0.447615676,-0.091599899,0.179616118,1.257482125,"DES-L",2
"no",0.596820901,2.015197787,0.041603733,1.297989252,"DES-L",5
"no",1.342847027,2.015197787,-0.427638374,1.297989252,"DES-L",7
"no",-0.944966426,-0.091599899,-0.096408651,1.257482125,"DES-L",3
"no",0.497350751,-0.091599899,-0.850876353,1.257482125,"DES-L",12
"no",0.149205225,-2.198397586,0.915682169,0.973932234,"DES-L",8
"no",1.889932853,-0.091599899,-0.924482958,1.257482125,"DES-L",2
"yes",-1.591522402,-0.091599899,0.924882994,1.419510634,"DES-L",5
"no",-0.149205225,-2.198397586,1.863367209,0.973932234,"DES-L",2
"no",-0.049735075,2.015197787,0.593653271,0.973932234,"DES-L",2
"no",1.193641802,-0.091599899,-1.246511856,1.257482125,"DES-L",3
"no",1.790462703,-0.091599899,0.72246483,1.257482125,"DES-L",4
"yes",-1.541787327,-0.091599899,0.032402908,1.419510634,"DES-L",6
"yes",-0.397880601,-0.091599899,0.510845841,1.460017761,"DES-L",3
"no",0.795761201,-0.091599899,-0.188416908,1.257482125,"DES-L",3
"yes",-0.696291051,-0.091599899,2.056584547,1.419510634,"DES-L",1
"yes",0.447615676,-0.091599899,0.768468959,1.460017761,"DES-L",6
"yes",-0.696291051,-0.091599899,-1.734155614,1.460017761,"DES-L",5
"yes",-0.795761201,-0.091599899,0.308427677,1.419510634,"DES-L",0
"yes",-0.646555976,-0.091599899,-0.722064794,1.460017761,"DES-L",0
"yes",-1.442317177,-0.595683397,-1.229378612,-1.497002529,"DF",1
"yes",0.29841045,-0.595683397,0.084765289,-1.497002529,"DF",2
"yes",0.397880601,-1.191366794,1.014176271,-1.294466893,"DF",4
"no",-0.447615676,0,-3.023357951,-2.712216348,"DF",1
"no",0.596820901,0.595683397,-0.144345326,-0.686859984,"DF",1
"no",1.342847027,0.595683397,-0.014660072,-0.686859984,"DF",3
"no",-0.944966426,-0.595683397,-0.44694425,-0.970409875,"DF",5
"no",0.497350751,-0.595683397,-0.602566554,-0.970409875,"DF",4
"no",0.149205225,0,-0.092471224,-0.767874239,"DF",7
"no",1.889932853,1.787050192,-0.248093528,-1.578016784,"DF",5
"yes",-1.591522402,-1.191366794,2.004107039,-1.294466893,"DF",2
"no",-0.149205225,1.787050192,1.169798575,-1.578016784,"DF",5
"no",-0.049735075,-1.191366794,-0.792771592,-1.497002529,"DF",2
"no",1.193641802,1.787050192,-0.658763497,-1.578016784,"DF",2
"no",1.790462703,-1.191366794,-0.101116908,-1.537509657,"DF",1
"yes",-1.541787327,0.595683397,0.88881386,-1.091931257,"DF",3
"yes",-0.397880601,-1.191366794,0.25767896,-1.294466893,"DF",5
"no",0.795761201,0,0.214450542,-0.767874239,"DF",1
"yes",-0.696291051,0.595683397,0.339812954,-1.091931257,"DF",7
"yes",0.447615676,0.595683397,-0.170282376,-1.091931257,"DF",1
"yes",-0.696291051,0.595683397,-0.377778782,-1.091931257,"DF",2
"yes",-0.795761201,-1.191366794,1.238964044,-1.294466893,"DF",3
"yes",-0.646555976,0.595683397,0.689963138,-1.091931257,"DF",3
"yes",-1.442317177,-0.301823307,0.239069426,-0.322295839,"DF",2
"yes",0.29841045,-0.301823307,1.338788788,-0.322295839,"DF",2
"yes",0.397880601,-0.301823307,0.294055395,-0.484324348,"DF",5
"no",-0.447615676,-0.301823307,-1.364687976,-0.524831475,"DF",8
"no",0.596820901,3.169144721,1.412103412,-0.200774457,"DF",1
"no",1.342847027,3.169144721,-0.402433535,-0.200774457,"DF",2
"no",-0.944966426,-0.301823307,-1.11725112,-0.524831475,"DF",7
"no",0.497350751,-0.301823307,-0.860649935,-0.524831475,"DF",4
"no",0.149205225,-0.301823307,0.101604506,-0.443817221,"DF",3
"no",1.889932853,-0.301823307,-1.108086792,-0.524831475,"DF",2
"yes",-1.591522402,-0.301823307,2.209399949,-0.484324348,"DF",3
"no",-0.149205225,-0.301823307,0.394863003,-0.443817221,"DF",4
"no",-0.049735075,-0.301823307,-0.429926519,-0.443817221,"DF",5
"no",1.193641802,-0.301823307,-1.465495584,-0.524831475,"DF",1
"no",1.790462703,-0.301823307,-0.23747563,-0.524831475,"DF",1
"yes",-1.541787327,-0.301823307,0.147426146,-0.443817221,"DF",3
"yes",-0.397880601,-0.301823307,-0.05418907,-0.484324348,"DF",4
"no",0.795761201,-0.301823307,0.074111522,-0.443817221,"DF",2
"yes",-0.696291051,-0.301823307,-1.016443511,-0.443817221,"DF",4
"yes",0.447615676,-0.301823307,-0.439090847,-0.484324348,"DF",1
"yes",-0.696291051,-0.301823307,-0.081682054,-0.484324348,"DF",3
"yes",-0.795761201,-0.301823307,1.998620405,-0.484324348,"DF",1
"yes",-0.646555976,-0.301823307,0.367370019,-0.484324348,"DF",3
"yes",-1.442317177,1.658312395,-0.826482546,0.649875216,"DF",2
"yes",0.29841045,1.658312395,0.195819483,0.649875216,"DF",6
"yes",0.397880601,-1.658312395,-0.161628779,0.649875216,"DF",3
"no",-0.447615676,0,-0.583417728,0.163789689,"DF",5
"no",0.596820901,0,0.946460832,0.609368088,"DF",1
"no",1.342847027,1.658312395,0.56041671,1.297989252,"DF",2
"no",-0.944966426,0,0.782034632,0.609368088,"DF",4
"no",0.497350751,0,0.102882934,0.609368088,"DF",2
"no",0.149205225,0,0.453182231,0.123282561,"DF",1
"no",1.889932853,0,0.052840178,0.082775434,"DF",1
"yes",-1.591522402,-1.658312395,0.639055327,0.649875216,"DF",4
"no",-0.149205225,0,0.631906362,0.123282561,"DF",3
"no",-0.049735075,0,-0.354650841,0.123282561,"DF",2
"no",1.193641802,0,-0.647758415,0.082775434,"DF",1
"no",1.790462703,0,1.396845642,0.082775434,"DF",3
"yes",-1.541787327,1.658312395,1.511229086,0.649875216,"DF",1
"yes",-0.397880601,0,-1.905976297,0.163789689,"DF",1
"no",0.795761201,0,0.174372587,0.082775434,"DF",2
"yes",-0.696291051,-1.658312395,1.368249781,0.649875216,"DF",3
"yes",0.447615676,0,-1.755848027,0.163789689,"DF",3
"yes",-0.696291051,0,-1.484187348,0.163789689,"DF",4
"yes",-0.795761201,-1.658312395,0.417437405,0.649875216,"DF",1
"yes",-0.646555976,0,-1.512783209,0.163789689,"DF",3
"yes",-1.442317177,-0.091599899,-1.034892866,1.379003507,"DF",5
"yes",0.29841045,-0.091599899,-0.022802046,1.379003507,"DF",1
"yes",0.397880601,-0.091599899,-1.669749835,1.419510634,"DF",3
"no",-0.447615676,-0.091599899,0.179616118,1.257482125,"DF",3
"no",0.596820901,2.015197787,0.041603733,1.297989252,"DF",2
"no",1.342847027,2.015197787,-0.427638374,1.297989252,"DF",1
"no",-0.944966426,-0.091599899,-0.096408651,1.257482125,"DF",5
"no",0.497350751,-0.091599899,-0.850876353,1.257482125,"DF",4
"no",0.149205225,-2.198397586,0.915682169,0.973932234,"DF",4
"no",1.889932853,-0.091599899,-0.924482958,1.257482125,"DF",1
"yes",-1.591522402,-0.091599899,0.924882994,1.419510634,"DF",3
"no",-0.149205225,-2.198397586,1.863367209,0.973932234,"DF",5
"no",-0.049735075,2.015197787,0.593653271,0.973932234,"DF",8
"no",1.193641802,-0.091599899,-1.246511856,1.257482125,"DF",2
"no",1.790462703,-0.091599899,0.72246483,1.257482125,"DF",1
"yes",-1.541787327,-0.091599899,0.032402908,1.419510634,"DF",2
"yes",-0.397880601,-0.091599899,0.510845841,1.460017761,"DF",6
"no",0.795761201,-0.091599899,-0.188416908,1.257482125,"DF",2
"yes",-0.696291051,-0.091599899,2.056584547,1.419510634,"DF",5
"yes",0.447615676,-0.091599899,0.768468959,1.460017761,"DF",1
"yes",-0.696291051,-0.091599899,-1.734155614,1.460017761,"DF",1
"yes",-0.795761201,-0.091599899,0.308427677,1.419510634,"DF",1
"yes",-0.646555976,-0.091599899,-0.722064794,1.460017761,"DF",4
